Company,Landed Date,Capital Investment,Incentivized Jobs, New Jobs ,Project Type,County,County Tier,FJTAP,FIDP,ED,Grants Total
"Delfasco, LLC",4/30/2018,"$7,050,000 ",0,128,Expansion,Greene,3,"$64,000 ",,,"$64,000 "
Integrity Express Logistics,2/28/2017,"$166,000 ",29,64,Recruitment,Davidson,1,"$64,000 ",,,"$64,000 "
Pacific Manufacturing Tennessee,8/31/2020,"$15,000,000 ",125,125,Expansion,Madison,2,"$62,500 ",,,"$62,500 "
Pennant Moldings,6/12/2017,"$8,610,000 ",62,62,Recruitment,Wilson,1,"$62,000 ",,,"$62,000 "
Roadtec Inc,5/31/2016,"$4,300,000 ",71,71,Expansion,Hamilton,1,"$62,000 ",,,"$62,000 "
"Shades Unlimited, Inc",1/31/2021,"$1,611,000 ",61,61,Recruitment,Knox,1,"$61,000 ",,,"$61,000 "
American Wonder Porcelain,11/30/2018,"$16,500,000 ",30,30,Expansion,Wilson,1,"$60,000 ",,,"$60,000 "
Christian Brands Inc.,7/24/2019,"$3,020,000 ",0,60,Expansion,Marshall,2,"$60,000 ",,,"$60,000 "
"Covenant Transport Group, Inc.",3/31/2016,"$5,543,000 ",30,30,Expansion,Hamilton,1,"$60,000 ",,,"$60,000 "
Delta Faucet Company of Tennessee,4/30/2018,$0 ,60,60,Expansion,Madison,2,"$60,000 ",,,"$60,000 "
Ferrari Stampi Usa Inc,10/27/2022,"$1,395,332 ",30,30,Expansion,Montgomery,1,"$60,000 ",,,"$60,000 "
Sumitomo Electric Wiring Systems Inc.,4/30/2020,"$1,800,000 ",80,80,Expansion,Rutherford,1,"$60,000 ",,,"$60,000 "
WS Packaging,1/31/2020,"$8,561,000 ",40,40,Expansion,Montgomery,1,"$60,000 ",,,"$60,000 "
"Good Sportsman Marketing, LLC",8/13/2019,"$1,179,246 ",48,48,Recruitment,Decatur,4,"$57,600 ",,,"$57,600 "
"Rocore Knoxville, LLC",4/24/2019,"$7,000,000 ",57,57,Expansion,Knox,1,"$57,000 ",,,"$57,000 "
Edgecroft LLC,12/31/2023,"$1,075,000 ",28,28,Recruitment,Hickman,2,"$56,000 ",,,"$56,000 "
"Petsense, LLC",12/31/2018,"$20,400,000 ",37,37,Recruitment,Williamson,1,"$55,500 ",,,"$55,500 "
DanFoss Power Solutions,10/31/2017,"$765,000 ",32,46,Expansion,Dyer,2,"$55,200 ",,,"$55,200 "
"Ryder Integrated Logistics, Inc.",11/30/2016,$0 ,0,109,Expansion,Madison,2,"$54,500 ",,,"$54,500 "
AerSale Inc.,7/31/2023,"$5,450,000 ",54,54,Expansion,Shelby,2,"$54,000 ",,,"$54,000 "
"Athena-SCE, Inc.",8/8/2019,"$3,010,000 ",36,36,Expansion New Location,Maury,1,"$54,000 ",,,"$54,000 "
Monogram Assembled Foods LLC,8/31/2016,"$500,000 ",42,75,Expansion,Shelby,2,"$52,500 ",,,"$52,500 "
"Smalticeram USA, Inc.",5/4/2018,"$4,060,000 ",8,26,Recruitment,Maury,1,"$52,000 ",,,"$52,000 "
"Symbion, Inc.",12/31/2017,"$11,050,000 ",26,26,Expansion,Davidson,1,"$52,000 ",,,"$52,000 "
Seeking Health LLC,9/30/2022,"$3,043,551 ",15,15,Recruitment,Wayne,4,"$51,435 ",,,"$51,435 "
"Grab the Gold, Inc.",6/30/2022,"$400,000 ",17,17,Expansion,Williamson,1,"$51,000 ",,,"$51,000 "
TBDN Tennessee Company,9/30/2017,"$15,000,000 ",30,30,Expansion,Madison,2,"$50,100 ",,,"$50,100 "
Altar'd State,6/30/2017,"$4,057,000 ",44,44,Expansion New Location,Blount,1,"$50,000 ",,,"$50,000 "
Concord Music Group,4/4/2017,"$2,291,000 ",33,33,Expansion,Davidson,1,"$50,000 ",,,"$50,000 "
Franklin Sports Distribution Center,6/30/2018,"$1,500,000 ",27,50,Expansion,Shelby,2,"$50,000 ",,,"$50,000 "
GSM Engineered Fabrics,2/29/2020,"$2,465,000 ",25,25,Expansion New Location,Sullivan,2,"$50,000 ",,,"$50,000 "
Koorsen Fire & Security,4/30/2018,"$4,000,000 ",35,35,Expansion,Davidson,1,"$50,000 ",,,"$50,000 "
Orchids Paper Products,3/7/2017,"$500,000 ",0,25,Expansion New Location,Williamson,1,"$50,000 ",,,"$50,000 "
"ProFab TN, LLC",6/30/2021,"$604,500 ",15,15,Expansion New Location,McNairy,4,"$47,685 ",,,"$47,685 "
Integrity Injection Molding Inc,2/22/2019,"$5,000,000 ",47,47,New Startup,Giles,2,"$47,000 ",,,"$47,000 "
Novus Advanced Manufacturing LLC,4/25/2016,"$1,950,000 ",19,47,Expansion New Location,Lawrence,3,"$47,000 ",,,"$47,000 "
Wonton Food Corporation,12/31/2016,"$21,680,000 ",61,94,Expansion,Davidson,1,"$47,000 ",,,"$47,000 "
"Falcon Plastics, Inc.",9/30/2017,"$2,000,000 ",34,39,Expansion,Henderson,3,"$46,800 ",,,"$46,800 "
"Metro Services, Inc.",3/31/2016,"$600,000 ",20,31,Expansion,Hamilton,1,"$46,500 ",,,"$46,500 "
U.S. Farathane Corporation,3/31/2020,"$2,040,000 ",93,93,Expansion,Madison,2,"$46,500 ",,,"$46,500 "
Hunter Fan Company,6/13/2016,"$1,370,000 ",0,46,Expansion New Location,Davidson,1,"$46,000 ",,,"$46,000 "
Rich Products Corporation,7/31/2017,"$5,300,000 ",46,46,Expansion,Hamblen,3,"$46,000 ",,,"$46,000 "
Dienamic Tooling Systems,11/30/2019,"$3,042,535 ",7,30,Expansion,Loudon,1,"$45,000 ",,,"$45,000 "
Quore,2/7/2019,"$758,150 ",25,45,Expansion,Williamson,1,"$45,000 ",,,"$45,000 "
"Miller Industries Towing Equipment, Inc.",3/31/2016,"$13,000,000 ",59,59,Expansion,Hamilton,1,"$44,250 ",,,"$44,250 "
"ColorCoat, Inc.",4/10/2017,"$606,500 ",50,80,Recruitment,Obion,3,"$44,000 ",,,"$44,000 "
Duro Bag Manufacturing Company,3/31/2019,"$3,600,000 ",29,29,Expansion,Madison,2,"$43,500 ",,,"$43,500 "
BR Metal Products,9/21/2020,"$182,500 ",32,32,Expansion,Overton,3,"$43,200 ",,,"$43,200 "
"2615 Summer, LLC",9/30/2020,"$2,025,000 ",21,21,Expansion New Location,Shelby,2,"$42,000 ",,,"$42,000 "
Exel Inc.,11/30/2022,"$5,246,643 ",42,42,Expansion New Location,Shelby,2,"$42,000 ",,,"$42,000 "
"i3 Verticals, LLC",4/25/2018,"$500,000 ",42,42,Expansion New Location,Rutherford,1,"$42,000 ",,,"$42,000 "
Jarrett Concrete Products & Supply Inc,6/30/2023,"$6,200,000 ",0,28,Expansion,Cheatham,1,"$42,000 ",,,"$42,000 "
Kimberly-Clark Corporation,5/1/2019,"$27,000,000 ",28,28,Expansion,Loudon,1,"$42,000 ",,,"$42,000 "
"Nashville CML, LLC",6/30/2017,"$3,750,000 ",32,42,Recruitment,Davidson,1,"$42,000 ",,,"$42,000 "
"National Industrial Concepts, Inc.",6/4/2021,"$2,034,296 ",28,28,Expansion,Sumner,1,"$42,000 ",,,"$42,000 "
Trinidad Benham,3/31/2017,"$13,575,866 ",15,28,Expansion New Location,Davidson,1,"$42,000 ",,,"$42,000 "
"Enexor Energy, LLC",7/8/2019,"$500,000 ",41,41,Expansion,Williamson,1,"$41,000 ",,,"$41,000 "
Interstate Packaging Company,1/31/2016,"$4,158,580 ",41,41,Expansion,Dickson,1,"$41,000 ",,,"$41,000 "
Newberry Tanks,10/31/2021,"$2,986,500 ",25,25,Expansion New Location,Shelby,2,"$41,000 ",,,"$41,000 "
"Novita Technologies, Inc.",3/31/2017,"$5,500,000 ",0,41,Expansion,Sumner,1,"$41,000 ",,,"$41,000 "
"Southern Precision Machining, LLC",4/30/2019,"$4,470,000 ",7,45,Expansion,Bedford,2,"$40,500 ",,,"$40,500 "
"Quality Iron and Steel, LLC",4/26/2019,"$2,792,300 ",32,32,New Startup,McNairy,4,"$40,000 ",,,"$40,000 "
Stevison Ham Company,7/31/2017,"$5,534,374 ",40,40,Expansion,Sumner,1,"$40,000 ",,,"$40,000 "
Teknor Apex Tennessee Company,10/7/2020,"$7,376,148 ",20,20,Expansion,Haywood,4,"$40,000 ",,,"$40,000 "
Windsor Mold USA Inc.,12/10/2020,"$3,500,000 ",40,40,Expansion,Giles,2,"$40,000 ",,,"$40,000 "
"Tevet, LLC",5/31/2019,"$4,260,000 ",26,26,Expansion New Location,Greene,3,"$38,350 ",,,"$38,350 "
Premier Manufacturing Corporation,2/28/2018,"$931,000 ",47,47,Expansion,Chester,3,"$37,600 ",,,"$37,600 "
"Newly Weds Foods, LLC",12/31/2017,"$3,035,000 ",32,32,Expansion,Bradley,2,"$37,375 ",,,"$37,375 "
"Dewayne's Quality Metal Coating, Inc.",10/31/2017,"$1,575,000 ",20,88,Expansion,Henderson,3,"$37,054 ",,,"$37,054 "
Wilson Sporting Goods Company,1/31/2019,"$1,050,000 ",37,37,Expansion,White,3,"$37,000 ",,,"$37,000 "
"Southern Precision Machining, LLC",3/10/2016,"$3,845,000 ",38,38,Expansion,Bedford,2,"$36,900 ",,,"$36,900 "
Pratt Industries (USA),8/31/2017,$0 ,19,43,Expansion,Madison,2,"$36,500 ",,,"$36,500 "
Resolute Forest Products,10/31/2018,"$19,346,700 ",0,27,Expansion,McMinn,3,"$36,450 ",,,"$36,450 "
Pacific Western Sales,12/31/2016,"$3,405,000 ",21,43,Recruitment,Robertson,1,"$36,400 ",,,"$36,400 "
"Bobrick Washroom Equipment, Inc.",3/19/2019,"$9,041,560 ",25,25,Expansion,Madison,2,"$36,000 ",,,"$36,000 "
"Feintool, Inc.",5/31/2017,"$5,600,000 ",24,24,Expansion,Davidson,1,"$36,000 ",,,"$36,000 "
Micro Metals PM Inc.,4/30/2018,"$3,300,000 ",0,20,Expansion,Fentress,4,"$35,680 ",,,"$35,680 "
"Hubbell Lenoir City, Inc.",8/31/2016,"$4,823,000 ",50,258,Expansion,Loudon,1,,"$35,371 ",,"$35,371 "
"Aesthetic Management Partners, Inc",5/31/2021,"$2,000,000 ",14,14,Recruitment,Shelby,2,"$35,000 ",,,"$35,000 "
TBDN Tennessee Company,7/21/2016,"$18,800,500 ",35,35,Expansion,Madison,2,"$35,000 ",,,"$35,000 "
Exel Inc. d/b/a DHL Supply Chain (USA),10/31/2020,"$31,726,873 ",34,34,Expansion New Location,Shelby,2,"$34,000 ",,,"$34,000 "
"MAG USA, Inc.",11/30/2017,"$600,000 ",32,32,Expansion,Anderson,2,"$32,000 ",,,"$32,000 "
"Odyssey Medical, Inc.",12/31/2017,"$2,267,323 ",10,32,Expansion,Shelby,2,"$32,000 ",,,"$32,000 "
LEO Events,4/30/2018,"$500,000 ",25,25,Expansion New Location,Shelby,2,"$31,250 ",,,"$31,250 "
Yachad LLC,9/26/2019,"$602,000 ",31,31,Expansion,McNairy,4,"$31,000 ",,,"$31,000 "
Berry Global,1/31/2017,"$30,140,000 ",0,41,Expansion,Davidson,1,"$30,750 ",,,"$30,750 "
"Henderson Stamping & Production, Inc.",10/31/2018,"$750,000 ",12,12,Expansion New Location,Chester,3,"$30,000 ",,,"$30,000 "
MIG Steel Services,2/27/2017,"$1,500,000 ",0,20,Expansion,Henderson,3,"$30,000 ",,,"$30,000 "
"USA Strength and Performance, LLC",11/30/2019,"$1,670,000 ",0,30,Expansion New Location,Monroe,3,"$30,000 ",,,"$30,000 "
Victory Supply LLC,4/30/2017,"$1,089,500 ",21,21,Recruitment,Maury,1,"$30,000 ",,,"$30,000 "
C.K.S. Packaging Inc.,10/31/2020,"$5,515,000 ",59,59,Expansion,Haywood,4,"$29,500 ",,,"$29,500 "
Grupo Antolin - Chattanooga,11/30/2017,"$94,772 ",19,58,Recruitment,Hamilton,1,"$29,000 ",,,"$29,000 "
Gold River Feed Products,6/30/2017,"$4,500,000 ",0,48,Expansion,Bedford,2,"$28,800 ",,,"$28,800 "
"Dynametal Technologies, Inc.",1/31/2018,"$621,000 ",7,19,Expansion,Haywood,4,"$28,500 ",,,"$28,500 "
Schlesinger Nashville,3/31/2018,"$50,000 ",0,20,Expansion,Davidson,1,"$28,000 ",,,"$28,000 "
"SSW Premier, LLC",4/30/2021,"$2,748,177 ",28,28,Expansion New Location,Sumner,1,"$28,000 ",,,"$28,000 "
"Bavarian Polymers, USA, Inc.",1/26/2016,"$2,700,000 ",27,27,Expansion,Dickson,1,"$27,000 ",,,"$27,000 "
Pepper Palace,12/31/2017,"$1,500,000 ",36,36,Expansion,Sevier,2,"$27,000 ",,,"$27,000 "
Smelter Service Corporation,2/28/2018,"$9,550,000 ",20,27,Expansion,Maury,1,"$27,000 ",,,"$27,000 "
"Magnum Press, Inc.",2/28/2017,"$1,020,000 ",7,35,Expansion,McNairy,4,"$26,250 ",,,"$26,250 "
Atlantic Track & Turnout,5/31/2018,"$900,000 ",26,26,Expansion,Shelby,2,"$26,000 ",,,"$26,000 "
"Double H Tennessee, LLC",10/23/2019,"$812,000 ",26,26,Expansion,Hamblen,3,"$26,000 ",,,"$26,000 "
"Mountain Barn Builders, LLC",9/30/2018,"$1,010,000 ",15,26,Expansion,Fentress,4,"$26,000 ",,,"$26,000 "
Bath Fitter,5/17/2016,"$5,137,000 ",39,51,Expansion,Robertson,1,"$25,500 ",,,"$25,500 "
Bradford Company,2/18/2016,"$5,070,000 ",25,25,Expansion,Sumner,1,"$25,000 ",,,"$25,000 "
Foam Products Corporation,10/31/2018,"$500,000 ",10,10,Expansion,Unicoi,3,"$25,000 ",,,"$25,000 "
Manitowoc Food Service Group,4/30/2016,"$753,000 ",25,25,Expansion,Decatur,4,"$25,000 ",,,"$25,000 "
MANN+HUMMEL USA Inc.,12/10/2019,"$15,000,000 ",50,50,Expansion,Sequatchie,4,"$25,000 ",,,"$25,000 "
"Master Tool & Die, Inc",12/31/2017,"$557,500 ",0,25,Expansion,Sullivan,2,"$25,000 ",,,"$25,000 "
"Performance Food Group, Inc.",1/31/2022,"$30,300,000 ",25,25,Expansion,Shelby,2,"$25,000 ",,,"$25,000 "
"Petainer Manufacturing USA, Inc.",4/30/2023,"$1,400,000 ",20,20,Recruitment,Obion,3,"$25,000 ",,,"$25,000 "
"RDX, LLC",11/30/2020,"$7,200,000 ",25,25,Expansion New Location,Shelby,2,"$25,000 ",,,"$25,000 "
Reily Foods Company,7/31/2019,"$10,000,000 ",19,25,Expansion,Knox,1,"$25,000 ",,,"$25,000 "
"Tree Products, LLC",8/31/2021,"$2,559,000 ",0,25,Expansion,Scott,4,"$25,000 ",,,"$25,000 "
Carlisle Fluid Technologies,10/31/2017,"$1,200,000 ",16,16,Expansion,Madison,2,"$24,876 ",,,"$24,876 "
Arciplex,2/25/2016,"$500,000 ",0,35,Expansion,Davidson,1,"$24,500 ",,,"$24,500 "
Great Neck Saw Manufacturing Company,9/30/2020,"$1,385,000 ",47,47,Expansion,Washington,1,"$23,500 ",,,"$23,500 "
"Ware Manufacturing, Inc.",5/28/2018,"$1,100,000 ",32,32,Expansion,Hawkins,4,"$22,659 ",,,"$22,659 "
"Commercial Filter Maintenance Co., Inc.",11/23/2020,"$8,980,000 ",30,30,Expansion New Location,Fayette,1,"$21,000 ",,,"$21,000 "
New River Hardwood Inc,3/29/2018,"$3,800,000 ",21,21,Expansion New Location,Carter,4,"$21,000 ",,,"$21,000 "
Atlantic Track & Turnout,7/31/2020,$0 ,20,20,Expansion,Shelby,2,"$20,000 ",,,"$20,000 "
Buffalo River Truss LLC,5/23/2022,"$1,490,896 ",40,40,Expansion New Location,Perry,4,"$20,000 ",,,"$20,000 "
Nashville Wire Products Corporation,2/21/2018,"$4,350,000 ",0,20,Expansion,Stewart,2,"$20,000 ",,,"$20,000 "
"Welch Packaging Group, Inc",12/6/2021,"$3,285,638 ",27,48,New Startup,Wilson,1,"$20,000 ",,,"$20,000 "
"Bobrick Washroom Equipment, Inc.",4/30/2021,"$5,550,000 ",15,15,Expansion,Madison,2,"$18,000 ",,,"$18,000 "
New River Hardwoods,4/30/2017,"$564,500 ",17,17,Expansion,Johnson,4,"$18,000 ",,,"$18,000 "
Rogers Foam,10/31/2022,"$1,736,152 ",33,33,Recruitment,Sullivan,2,"$16,500 ",,,"$16,500 "
Apple Tree International Corp.,10/31/2019,"$2,000,000 ",30,30,Recruitment,Shelby,2,"$15,000 ",,,"$15,000 "
Memphis Record Pressing,6/30/2019,"$500,000 ",28,28,Expansion,Shelby,2,"$14,000 ",,,"$14,000 "
Alliance Hardwood Inc.,3/31/2019,"$500,000 ",0,24,New Startup,Greene,3,"$13,840 ",,,"$13,840 "
"Pacific Paper Products, Inc.",2/29/2016,"$2,335,000 ",0,27,Expansion New Location,Shelby,2,"$13,500 ",,,"$13,500 "
ExactaTiles,2/28/2017,"$550,000 ",21,25,Expansion,Wilson,1,"$12,500 ",,,"$12,500 "
SP-Teri,10/28/2021,"$435,000 ",25,35,Expansion New Location,Humphreys,2,"$12,500 ",,,"$12,500 "
Carbon Black Global LLC,7/31/2016,"$1,500,000 ",10,10,Expansion New Location,Sequatchie,4,"$10,000 ",,,"$10,000 "
"Equistar Chemicals, LP",3/31/2017,"$11,500,000 ",0,9,Expansion,Madison,2,"$10,000 ",,,"$10,000 "
"Savannah Industrial Solutions, LLC",8/31/2021,"$1,000,000 ",20,20,Expansion,Hardin,3,"$10,000 ",,,"$10,000 "
"ThyssenKrupp Elevator Manufacturing, Inc.",10/31/2016,$0 ,12,12,Expansion,Shelby,2,"$7,200 ",,,"$7,200 "
